
SunOS server_sol5.10 5.10 Generic_148888-05 sun4v    07/17/2019

00:00:00    %usr    %sys    %wio   %idle
00:50:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0      12    1121     0.0     2.8
           vdc1              0     0.0       5     309     0.0     7.3
           vdc2             99     2.4     240    2329     0.0    10.1
           vdc3             98     3.0     140    3687     0.0    21.1
           vdc4             17     0.2      78     936     0.0     3.1

00:55:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0       7     309     0.0     2.0
           vdc1              0     0.0       3      51     0.0     2.4
           vdc2             98     1.3     133    1034     0.0     9.7
           vdc3            100    10.0      36    8785     0.0   278.8
           vdc4              0     0.0       5     331     0.0     3.8

01:00:02   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             10     0.2      13     342     0.0    13.4
           vdc1              1     0.0       4      54     0.0     4.5
           vdc2             99     1.6     152    1614     0.0    10.7
           vdc3             78     7.3     429  108456     0.0    17.0
           vdc4              0     0.0       5     249     0.0     3.3

01:05:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             12     0.3      31     820     0.0     8.6
           vdc1              1     0.0       4      29     0.0    13.3
           vdc2             82     2.1     164    2125     0.0    12.6
           vdc3             67     5.2     373   94119     0.0    14.0
           vdc4              1     0.1       6     165     0.0    11.1

01:10:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             13     0.3      46    1165     0.0     5.6
           vdc1              0     0.0       2       4     0.0     0.9
           vdc2              2     0.0      18      50     0.0     1.0
           vdc3             79     6.9     268   68146     0.0    25.7
           vdc4              1     0.0       9      21     0.0     1.5

01:15:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
