Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:55:01 PM      0.00      0.00
09:05:01 PM      0.00      0.00
09:15:01 PM      0.00      0.00
09:25:01 PM      0.00      0.00
09:35:01 PM      0.00      0.00
09:45:01 PM      0.00      0.00
09:55:01 PM      0.00      0.00
10:05:01 PM      0.00      0.00
10:15:01 PM      0.00      0.00
10:25:01 PM      0.00      0.00
10:35:01 PM      0.00      0.00
10:45:01 PM      0.00      0.00
10:55:01 PM      0.00      0.00
11:05:01 PM      0.00      0.00
11:15:01 PM      0.00      0.00
11:25:01 PM      0.00      0.00
11:35:01 PM      0.00      0.00
11:45:01 PM      0.00      0.00
11:55:01 PM      0.00      0.00
11:59:01 PM      0.00      0.00
12:00:01 AM      0.00      0.00
Average:         0.00      0.00

05:35:01 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
05:45:01 PM      0.39     59.78    923.37      0.00    645.48      0.00      0.00      0.00      0.00
05:55:01 PM      0.21     23.48    693.60      0.01    428.62      0.00      0.00      0.00      0.00
06:05:01 PM      0.19     22.78    799.80      0.00    480.34      0.00      0.00      0.00      0.00
06:15:01 PM      0.09     20.85    779.95      0.00    516.42      0.00      0.00      0.00      0.00
06:25:01 PM      0.25     23.16    734.76      0.00    486.87      0.00      0.00      0.00      0.00
06:35:01 PM      0.31     50.34    891.94      0.00    645.03      0.00      0.00      0.00      0.00
06:45:01 PM      1.33     27.98   1052.42      0.01    807.28      0.00      0.00      0.00      0.00
06:55:01 PM      0.12     23.08    767.32      0.00    468.63      0.00      0.00      0.00      0.00
07:05:01 PM      0.23     22.25    790.52      0.00    469.94      0.00      0.00      0.00      0.00
07:15:01 PM      0.57     48.17   1014.86      0.02    658.56      0.00      0.00      0.00      0.00
07:25:01 PM      0.23     23.70    935.14      0.00    558.73      0.00      0.00      0.00      0.00
07:35:01 PM      0.33     36.95    933.21      0.00    622.54      0.00      0.00      0.00      0.00
07:45:01 PM      0.10     23.53    858.55      0.00    523.98      0.00      0.00      0.00      0.00
07:55:01 PM      0.25     24.70   1244.28      0.00    925.95      0.00      0.00      0.00      0.00
08:05:01 PM      1.65     26.23    889.75      0.00    534.32      0.00      0.00      0.00      0.00
08:15:01 PM      0.17     25.22   1058.30      0.00    665.47      0.00      0.00      0.00      0.00
08:25:02 PM      0.77     27.69   1104.81      0.00    855.88      1.60      0.00      1.46     91.46
08:35:01 PM      0.60     27.11   1038.28      0.01    735.11      0.00      0.00      0.00      0.00
08:45:01 PM     25.75     25.01   1095.74      0.32    716.22      0.00      0.00      0.00      0.00
08:55:01 PM      0.17     29.93   1512.33      0.00   1131.16      0.00      0.00      0.00      0.00
09:05:01 PM      0.17     26.42   1013.25      0.00    625.48      0.00      0.00      0.00      0.00
09:15:01 PM      0.21     27.68    960.69      0.01    635.33      0.00      0.00      0.00      0.00
09:25:01 PM      0.07     23.04    804.14      0.00    482.28      0.00      0.00      0.00      0.00
09:35:01 PM      0.09     22.20    816.19      0.00    517.26      0.00      0.00      0.00      0.00
09:45:01 PM      0.23     33.29    845.09      0.00    566.30      0.00      0.00      0.00      0.00
09:55:01 PM      0.22     25.42   1248.31      0.00    922.26      0.00      0.00      0.00      0.00
10:05:01 PM      0.13     22.64    811.19      0.00    479.40      0.00      0.00      0.00      0.00
10:15:01 PM      0.03     21.65    791.65      0.00    508.51      0.00      0.00      0.00      0.00
10:25:01 PM      0.15     22.10    773.80      0.00    475.33      0.00      0.00      0.00      0.00
10:35:01 PM      2.26     22.94    767.58      0.04    468.23      0.00      0.00      0.00      0.00
10:45:01 PM      0.22     32.13    742.62      0.00    500.28      0.00      0.00      0.00      0.00
10:55:01 PM      0.13     22.72    722.83      0.00    440.45      0.00      0.00      0.00      0.00
11:05:01 PM      0.08     23.25    753.45      0.00    449.48      0.00      0.00      0.00      0.00
11:15:01 PM     16.04     29.32    916.98      0.11    587.03      0.00      0.00      0.00      0.00
11:25:01 PM      0.17     24.10    709.74      0.00    449.53      0.00      0.00      0.00      0.00
11:35:01 PM      0.01     21.91    634.64      0.00    400.99      0.00      0.00      0.00      0.00
11:45:01 PM      0.07     46.29    599.41      0.00    417.38      0.00      0.00      0.00      0.00
11:55:01 PM      0.44     23.60   1124.43      0.00    842.85      0.00      0.00      0.00      0.00
11:59:01 PM      0.30     21.85    800.16      0.00    488.19      0.00      0.00      0.00      0.00
12:00:01 AM      0.27     25.33    852.83      0.00    480.98      0.00      0.00      0.00      0.00
Average:         1.42     27.89    897.67      0.01    594.50      0.04      0.00      0.04     91.46

05:35:01 PM       tps      rtps      wtps   bread/s   bwrtn/s
05:45:01 PM      3.75      0.07      3.68      0.77    119.55
05:55:01 PM      3.89      0.05      3.84      0.41     46.97
06:05:01 PM      3.98      0.05      3.93      0.39     45.56
06:15:01 PM      3.50      0.02      3.47      0.17     41.69
06:25:01 PM      3.96      0.06      3.90      0.49     46.33
06:35:01 PM      4.33      0.08      4.25      0.61    100.69
06:45:01 PM      4.46      0.10      4.36      2.67     55.96
06:55:01 PM      4.00      0.03      3.97      0.24     46.15
07:05:01 PM      3.94      0.06      3.89      0.45     44.51
07:15:01 PM      5.82      0.10      5.73      1.13     96.33
07:25:01 PM      4.24      0.06      4.18      0.47     47.41
07:35:01 PM      4.28      0.08      4.20      0.67     73.89
07:45:01 PM      4.19      0.03      4.17      0.20     47.06
07:55:01 PM      4.16      0.06      4.09      0.51     49.39
08:05:01 PM      4.66      0.05      4.61      3.31     52.45
08:15:01 PM      4.36      0.04      4.32      0.33     50.44
08:25:02 PM      4.78      0.13      4.65      1.53     55.37
08:35:01 PM      4.66      0.14      4.52      1.20     54.22
08:45:01 PM      4.72      0.45      4.27     51.49     50.01
08:55:01 PM      4.97      0.04      4.92      0.35     59.86
09:05:01 PM      4.55      0.04      4.51      0.33     52.84
