Linux 3.10.0-1062.7.1.el7.x86_64 (server_rhel7.6) 	12/31/2019 	_x86_64_	(1 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:10:01 PM       0      1.17      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.67
01:20:01 PM     all      1.11      0.00      1.16      0.03      0.00      0.00      0.00      0.00      0.00     97.69
01:20:01 PM       0      1.11      0.00      1.16      0.03      0.00      0.00      0.00      0.00      0.00     97.69
01:30:01 PM     all      1.56      0.00      1.51      0.04      0.00      0.00      0.00      0.00      0.00     96.89
01:30:01 PM       0      1.56      0.00      1.51      0.04      0.00      0.00      0.00      0.00      0.00     96.89
01:40:01 PM     all      1.14      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.73
01:40:01 PM       0      1.14      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.73
01:50:01 PM     all      1.13      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.73
01:50:01 PM       0      1.13      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.73
02:00:01 PM     all      1.34      0.00      1.38      0.04      0.00      0.00      0.00      0.00      0.00     97.24
02:00:01 PM       0      1.34      0.00      1.38      0.04      0.00      0.00      0.00      0.00      0.00     97.24
02:10:02 PM     all      1.21      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.63
02:10:02 PM       0      1.21      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.63
02:20:01 PM     all      1.14      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.68
02:20:01 PM       0      1.14      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.68
02:30:01 PM     all      1.38      0.00      1.35      0.05      0.00      0.00      0.00      0.00      0.00     97.22
02:30:01 PM       0      1.38      0.00      1.35      0.05      0.00      0.00      0.00      0.00      0.00     97.22
02:40:01 PM     all      1.14      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.73
02:40:01 PM       0      1.14      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.73

02:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:50:01 PM     all      1.12      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
02:50:01 PM       0      1.12      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
03:00:02 PM     all      1.35      0.00      1.45      0.04      0.00      0.00      0.01      0.00      0.00     97.15
