Linux 2.6.18-398.el5 (server_rhel5) 	01/05/2020

12:00:01 AM    proc/s
12:10:01 AM     76.83
12:20:01 AM    107.17
12:30:01 AM    105.19
12:40:01 AM    110.02
12:50:01 AM     15.20
01:00:01 AM     89.41
01:10:01 AM     65.69
01:20:01 AM     41.29
01:30:01 AM     22.27
01:40:01 AM     20.21
01:50:01 AM     75.95
02:00:01 AM    175.05
Average:        75.36

12:00:01 AM   cswch/s
12:10:01 AM   5551.93
12:20:01 AM   5974.30
12:30:01 AM   6288.31
12:40:01 AM   5940.90
12:50:01 AM   4240.95
01:00:01 AM   4651.12
01:10:01 AM   5831.87
01:20:01 AM   6065.06
01:30:01 AM   4515.08
01:40:01 AM   4092.01
01:50:01 AM   8262.38
02:00:01 AM   9662.14
Average:      5922.82

12:00:01 AM       CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.02
01:20:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 2124.11    0.00    0.00    0.00
01:20:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 2128.76    0.00    0.00
01:30:01 AM    0  994.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.05
01:30:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 2313.16    0.00    0.00    0.00
01:30:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1702.80    0.00    0.00
01:40:01 AM    0  996.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
01:40:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1716.55    0.00    0.00    0.00
01:40:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1649.49    0.00    0.00
01:50:01 AM    0  997.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:50:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:50:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:50:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:50:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:50:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.97
01:50:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 2127.01    0.00    0.00    0.00
01:50:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 3221.74    0.00    0.00
02:00:01 AM    0  997.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:00:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:00:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:00:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:00:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:00:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.04
02:00:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 2317.33    0.00    0.00    0.00
02:00:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 3468.31    0.00    0.00
Average:       0  997.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.01
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00 1835.75    0.00    0.00    0.00
Average:       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 2130.01    0.00    0.00

12:00:01 AM  pswpin/s pswpout/s
12:10:01 AM      0.00      0.13
12:20:01 AM     49.70      0.98
12:30:01 AM      0.11      0.00
12:40:01 AM      3.02      0.38
12:50:01 AM      1.30      0.00
01:00:01 AM      0.00      0.00
01:10:01 AM      9.00      0.00
01:20:01 AM     20.38      3.67
01:30:01 AM      2.34      0.23
01:40:01 AM      0.56      0.35
01:50:01 AM      0.42      0.90
02:00:01 AM      1.96      0.00
Average:         7.40      0.55

12:00:01 AM       tps      rtps      wtps   bread/s   bwrtn/s
12:10:01 AM   4608.07   2758.11   1849.96  11533.86  11408.12
12:20:01 AM   4333.56   2442.29   1891.27   9794.30  12558.18
12:30:01 AM   4384.50   2461.64   1922.86   8728.62  12385.20
12:40:01 AM   4141.03   2268.46   1872.57   8809.89  12067.54
12:50:01 AM   3519.56   2361.82   1157.74   8300.14   4962.21
01:00:01 AM   3471.80   2381.86   1089.94   8335.34   3965.78
01:10:01 AM   4397.50   2810.71   1586.80  14558.88   9727.61
01:20:01 AM   5960.46   4417.22   1543.25  95448.82  10576.80
01:30:01 AM   5792.72   4618.09   1174.63 141983.12   7698.49
01:40:01 AM   7579.41   6079.46   1499.95  59228.73   7401.55
01:50:01 AM   6769.13   5177.33   1591.81  16554.95  10184.62
02:00:01 AM   7737.58   5913.18   1824.40  18623.86  11985.65
Average:      5224.73   3640.97   1583.76  33492.03   9576.58

12:00:01 AM   frmpg/s   bufpg/s   campg/s
12:10:01 AM    -46.29     73.55   -131.49
12:20:01 AM    136.27    -87.96    -46.54
12:30:01 AM    -74.92      7.32    147.20
12:40:01 AM    -36.49    -33.83     91.72
12:50:01 AM    -17.90     -2.59     13.37
01:00:01 AM     -8.83     32.51    -74.06
01:10:01 AM      0.36     93.68    -67.97
01:20:01 AM      0.58   -518.02    605.41
01:30:01 AM      9.94    -10.57    136.71
01:40:01 AM     -9.47    189.39     33.97
01:50:01 AM      3.33    676.84  -1279.91
02:00:01 AM     -4.18     17.54   -330.72
Average:        -3.97     36.49    -75.13

12:00:01 AM       TTY   rcvin/s   xmtin/s framerr/s prtyerr/s     brk/s   ovrun/s
12:10:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM         0      0.00      0.00      0.00      0.00      0.00      0.00
Average:            0      0.00      0.00      0.00      0.00      0.00      0.00

12:00:01 AM     IFACE   rxpck/s   txpck/s   rxbyt/s   txbyt/s   rxcmp/s   txcmp/s  rxmcst/s
12:10:01 AM        lo     17.72     17.72  52163.85  52163.85      0.00      0.00      0.00
12:10:01 AM      eth0    852.23    781.81 245801.85 733430.09      0.00      0.00      0.00
12:10:01 AM      eth1    626.19    548.21 249347.14 357472.80      0.00      0.00      0.00
12:10:01 AM      eth2    134.71     29.41  16142.42 217092.56      0.00      0.00      0.00
12:10:01 AM      sit0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM        lo     18.70     18.70  68161.62  68161.62      0.00      0.00      0.00
12:20:01 AM      eth0    939.34    886.05 261522.21 673311.79      0.00      0.00      0.00
12:20:01 AM      eth1    706.88    644.37 226703.15 496279.72      0.00      0.00      0.00
12:20:01 AM      eth2     75.63     31.46  85148.85 248452.38      0.00      0.00      0.00
12:20:01 AM      sit0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM        lo     19.34     19.34  67644.37  67644.37      0.00      0.00      0.00
12:30:01 AM      eth0    778.17    846.50 149359.28 545173.72      0.00      0.00      0.00
12:30:01 AM      eth1    668.63    621.09 184150.91 489444.04      0.00      0.00      0.00
12:30:01 AM      eth2     67.40     32.19   6269.93 244495.16      0.00      0.00      0.00
12:30:01 AM      sit0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM        lo     20.45     20.45  67176.22  67176.22      0.00      0.00      0.00
12:40:01 AM      eth0    947.24    892.19 263745.31 903609.61      0.00      0.00      0.00
12:40:01 AM      eth1    672.79    625.06 186809.77 488574.98      0.00      0.00      0.00
12:40:01 AM      eth2     53.62     29.99   4960.69 226655.81      0.00      0.00      0.00
12:40:01 AM      sit0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM        lo     17.09     17.09  47074.62  47074.62      0.00      0.00      0.00
12:50:01 AM      eth0    770.62    680.08 212292.12 723592.92      0.00      0.00      0.00
12:50:01 AM      eth1    744.30    692.83 219020.18 385642.09      0.00      0.00      0.00
