Linux 6.8.0-106-generic (server_ubuntu24.04) 	03/27/26 	_x86_64_	(4 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:40:01          3      1.65      0.00      0.46      0.02      0.01      0.00      0.00      0.00      0.00     97.86
06:50:01        all      1.94      0.28      0.58      0.09      0.01      0.00      0.02      0.00      0.00     97.08
06:50:01          0      1.53      0.10      0.52      0.12      0.01      0.00      0.05      0.00      0.00     97.67
06:50:01          1      1.66      0.00      0.52      0.09      0.01      0.00      0.02      0.00      0.00     97.70
06:50:01          2      2.21      0.73      0.64      0.10      0.01      0.00      0.01      0.00      0.00     96.29
06:50:01          3      2.36      0.27      0.66      0.05      0.01      0.00      0.00      0.00      0.00     96.65
07:00:01        all      1.39      0.00      0.39      0.01      0.01      0.00      0.02      0.00      0.00     98.18
07:00:01          0      1.22      0.00      0.37      0.01      0.01      0.00      0.05      0.00      0.00     98.35
07:00:01          1      1.54      0.00      0.39      0.01      0.01      0.00      0.02      0.00      0.00     98.03
07:00:01          2      1.57      0.00      0.41      0.01      0.01      0.00      0.01      0.00      0.00     97.99
07:00:01          3      1.24      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.36
07:10:01        all      1.81      0.00      0.43      0.03      0.01      0.00      0.02      0.00      0.00     97.71
07:10:01          0      1.56      0.00      0.36      0.01      0.01      0.00      0.05      0.00      0.00     98.01
07:10:01          1      2.27      0.00      0.50      0.03      0.01      0.00      0.02      0.00      0.00     97.18
07:10:01          2      1.97      0.00      0.48      0.01      0.01      0.00      0.01      0.00      0.00     97.53
07:10:01          3      1.45      0.00      0.38      0.05      0.01      0.00      0.00      0.00      0.00     98.11
07:20:01        all      1.44      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.15
07:20:01          0      1.14      0.00      0.33      0.01      0.01      0.00      0.04      0.00      0.00     98.48
07:20:01          1      1.78      0.00      0.41      0.01      0.01      0.00      0.01      0.00      0.00     97.78
07:20:01          2      1.07      0.00      0.35      0.02      0.01      0.00      0.01      0.00      0.00     98.55
07:20:01          3      1.77      0.00      0.41      0.01      0.01      0.00      0.00      0.00      0.00     97.81

07:20:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:30:01        all      1.37      0.00      0.38      0.01      0.01      0.00      0.02      0.00      0.00     98.21
07:30:01          0      1.04      0.00      0.31      0.01      0.01      0.00      0.05      0.00      0.00     98.59
07:30:01          1      1.45      0.00      0.42      0.02      0.01      0.00      0.02      0.00      0.00     98.09
07:30:01          2      1.66      0.00      0.42      0.01      0.01      0.00      0.01      0.00      0.00     97.90
07:30:01          3      1.33      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.28
07:40:01        all      1.51      0.00      0.41      0.01      0.01      0.00      0.02      0.00      0.00     98.03
07:40:01          0      1.12      0.00      0.36      0.01      0.01      0.00      0.04      0.00      0.00     98.46
07:40:01          1      2.15      0.00      0.52      0.01      0.01      0.00      0.02      0.00      0.00     97.28
07:40:01          2      1.62      0.00      0.41      0.02      0.01      0.00      0.01      0.00      0.00     97.93
07:40:01          3      1.16      0.00      0.36      0.01      0.01      0.00      0.00      0.00      0.00     98.46
07:50:00        all      2.07      0.04      0.50      0.02      0.01      0.00      0.02      0.00      0.00     97.34
07:50:00          0      2.23      0.00      0.41      0.02      0.01      0.00      0.05      0.00      0.00     97.28
07:50:00          1      1.83      0.00      0.50      0.02      0.01      0.00      0.02      0.00      0.00     97.63
07:50:00          2      2.34      0.16      0.60      0.02      0.01      0.00      0.02      0.00      0.00     96.85
07:50:00          3      1.86      0.00      0.50      0.02      0.01      0.00      0.00      0.00      0.00     97.61
08:00:01        all      1.59      0.19      0.52      0.02      0.01      0.00      0.02      0.00      0.00     97.65
08:00:01          0      1.08      0.00      0.53      0.02      0.01      0.00      0.05      0.00      0.00     98.31
08:00:01          1      1.52      0.00      0.46      0.02      0.01      0.00      0.02      0.00      0.00     97.97
08:00:01          2      2.01      0.76      0.56      0.02      0.01      0.00      0.01      0.00      0.00     96.63
08:00:01          3      1.75      0.00      0.54      0.02      0.01      0.00      0.00      0.00      0.00     97.67
08:10:01        all      1.86      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.64
08:10:01          0      2.10      0.00      0.40      0.01      0.01      0.00      0.05      0.00      0.00     97.44
08:10:01          1      1.85      0.00      0.49      0.01      0.01      0.00      0.01      0.00      0.00     97.63
08:10:01          2      1.90      0.00      0.51      0.02      0.01      0.00      0.01      0.00      0.00     97.56
08:10:01          3      1.61      0.00      0.44      0.02      0.01      0.00      0.00      0.00      0.00     97.92
08:20:01        all      1.58      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     97.95
08:20:01          0      1.22      0.00      0.41      0.01      0.01      0.00      0.05      0.00      0.00     98.32
08:20:01          1      2.53      0.00      0.54      0.01      0.01      0.00      0.02      0.00      0.00     96.89
08:20:01          2      1.40      0.00      0.39      0.02      0.01      0.00      0.01      0.00      0.00     98.17
08:20:01          3      1.19      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.41
08:30:01        all      1.43      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.13
08:30:01          0      1.09      0.00      0.36      0.02      0.01      0.00      0.05      0.00      0.00     98.48
08:30:01          1      1.27      0.00      0.39      0.01      0.01      0.00      0.01      0.00      0.00     98.31
08:30:01          2      1.86      0.00      0.45      0.01      0.01      0.00      0.01      0.00      0.00     97.66
08:30:01          3      1.51      0.00      0.40      0.01      0.01      0.00      0.00      0.00      0.00     98.07
08:40:01        all      1.60      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     97.92
08:40:01          0      1.59      0.00      0.42      0.01      0.01      0.00      0.05      0.00      0.00     97.92
08:40:01          1      1.93      0.00      0.51      0.01      0.01      0.00      0.02      0.00      0.00     97.53
08:40:01          2      1.79      0.00      0.47      0.02      0.01      0.00      0.01      0.00      0.00     97.70
08:40:01          3      1.08      0.00      0.36      0.01      0.01      0.00      0.00      0.00      0.00     98.54
08:50:01        all      1.53      0.00      0.42      0.01      0.01      0.00      0.02      0.00      0.00     98.01
08:50:01          0      1.03      0.00      0.34      0.01      0.01      0.00      0.04      0.00      0.00     98.57
08:50:01          1      1.74      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.77
08:50:01          2      1.52      0.00      0.42      0.02      0.01      0.00      0.01      0.00      0.00     98.02
08:50:01          3      1.84      0.00      0.46      0.01      0.01      0.00      0.00      0.00      0.00     97.68
09:00:02        all      2.39      0.00      0.59      0.02      0.01      0.00      0.02      0.00      0.00     96.97
09:00:02          0      1.45      0.00      0.45      0.01      0.01      0.00      0.04      0.00      0.00     98.05
09:00:02          1      1.61      0.00      0.51      0.02      0.01      0.00      0.02      0.00      0.00     97.83
09:00:02          2      2.49      0.00      0.67      0.04      0.01      0.00      0.01      0.00      0.00     96.79
09:00:02          3      4.02      0.00      0.74      0.02      0.01      0.00      0.00      0.00      0.00     95.21
09:10:01        all      1.93      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.57
09:10:01          0      1.07      0.00      0.41      0.01      0.01      0.00      0.05      0.00      0.00     98.44
09:10:01          1      2.80      0.00      0.49      0.02      0.01      0.00      0.02      0.00      0.00     96.67
09:10:01          2      1.93      0.00      0.48      0.02      0.01      0.00      0.02      0.00      0.00     97.54
09:10:01          3      1.90      0.00      0.45      0.02      0.01      0.00      0.00      0.00      0.00     97.62

09:10:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:20:01        all      1.53      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.03
09:20:01          0      1.25      0.00      0.34      0.01      0.01      0.00      0.05      0.00      0.00     98.34
